"ENTREZID","spearman.rho","spearman.FDR","pearson.cor","pearson.FDR"
"8447",-0.206576898506567,4.34394087770957e-05,-0.15514321540282,0.00441209956591452
"55619",-0.176718213227827,0.000549272405499084,-0.12620624692359,0.0238488892812195
"139818",-0.232709412893166,3.23590908559012e-06,-0.181919719858282,0.000659239641816913
"1793",-0.0693370049096798,0.222374713532785,-0.0739829531681977,0.221451051367666
"1794",-0.267553780214177,6.00669804263702e-08,-0.196584428722928,0.000208524565384724
"1795",-0.107978364100373,0.0448073989074736,-0.0442865966452294,0.498139657133411
"9732",-0.324232329961844,2.43864171778875e-11,-0.289285637616465,1.19855917736404e-08
"80005",-0.149351426040145,0.00404208020982148,-0.133704349399772,0.0159355369824633
"57572",-0.0767199316030328,0.172070718075071,-0.0693891860049895,0.255961661907014
"85440",0.0212355681131536,0.744362284055436,0.037915053179133,0.572614317348475
"81704",-0.142988029122234,0.00613852206539352,-0.111271400106407,0.0502059237625727
"23348",-0.114198877985501,0.0326396830999887,-0.0976165684576007,0.0923410726890552
"83475",0.0294661909678255,0.639873898488071,-0.0231052421403214,0.747452799031638
"1796",-0.367744632542364,1.61664025320096e-14,-0.264701316725786,2.51865705423447e-07
"9046",-0.257019182419613,2.1219142985574e-07,-0.201726691341646,0.000134819621791383
"79930",-0.144531975159619,0.00554264432487909,-0.121826512315871,0.0298845671317937
"55715",-0.172299791682219,0.000771610362142191,-0.103850260564236,0.0704013826955213
"55816",-0.0891412454267052,0.105685112191481,-0.018228337496946,0.804778454741575
"220164",-0.0401202473856387,0.50930634900119,0.00648239975350288,0.936026831858802
"285489",-0.129370573612333,0.0141334010319379,-0.112302867656989,0.0479459582234266
"22845",0.0442497390745845,0.460899903142477,-0.0213664004655802,0.768885305138461
"57171",-0.164420280771241,0.00139664095984008,-0.198171444036802,0.00018162696408218
"1797",0.271786061492087,3.53226095944582e-08,0.258447066800391,5.27755054787368e-07
"29980",0.0309738548078266,0.621696665361338,0.00160107300072613,0.983695184497189
"23033",-0.00579667114101522,0.933478010080756,0.0309388247813999,0.654028357960992
"9980",-0.0684214751828591,0.229182923114883,-0.0890619721947632,0.129755080585855
"84444",-0.049021976892079,0.40779257969368,-0.0278979909369782,0.690137843055462
"1798",-0.069920799805063,0.21823890436556,-0.0696970744527574,0.253613293233134
"25911",0.0137804113677562,0.840461533815423,-0.0244596289837821,0.731117309388331
"135656",0.0215326818470485,0.740782596705,0.0381187098638749,0.570249281479181
"1800",-0.0100289211186637,0.884647942423376,-0.0309734007980042,0.653722680411588
"64174",-0.157616702539863,0.00228089737935312,-0.125751650525983,0.024440688024138
"64180",-0.00184231984061409,0.979662139197733,0.0570502563676342,0.366051115686795
"8193",-0.196776170179777,0.000104038684430686,-0.178045726534514,0.000874916487817153
"5977",-0.100027296812696,0.0656750000760968,-0.0487988237240285,0.449527652390368
