CTCF_GSM1208603	AUC = 0.602
RAD21_GSM2809609	AUC = 0.602
DRAP1_GSM2574793	AUC = 0.602
CTCF_GSM1022676	AUC = 0.602
CTCF_ENCSR173AIR_1	AUC = 0.602
JMJD6_GSM2360994	AUC = 0.602
OTX2_GSM1505712	AUC = 0.602
SSU72_GSM1503826	AUC = 0.602
SMARCA4_GSM1835882	AUC = 0.602
EZH2_GSM1129364	AUC = 0.602
MAX_GSM1010898	AUC = 0.602
CTCF_GSM489302	AUC = 0.602
SMARCA4_GSM602297	AUC = 0.601
TET2_GSM2274677	AUC = 0.601
CTCF_GSM1684574	AUC = 0.601
BCL11A_GSM803396	AUC = 0.601
CTCF_GSM614636	AUC = 0.601
CTCF_GSM947528	AUC = 0.601
SMAD2_GSM2635691	AUC = 0.601
GTF3C5_GSM2082061	AUC = 0.601
RBPJ_GSM1922948	AUC = 0.601
CTCF_GSM749717	AUC = 0.601
ZBTB33_ENCSR541PDV_2	AUC = 0.601
CTCF_GSM1684571	AUC = 0.601
POU5F1_ENCSR264RJX_2	AUC = 0.601
NANOG_GSM1124070	AUC = 0.601
CTCF_ENCSR617IFZ_1	AUC = 0.601
RAD21_GSM935319	AUC = 0.601
CTCF_GSM947527	AUC = 0.600
CTCF_GSM749666	AUC = 0.600
CTCF_GSM1022671	AUC = 0.600
CTCF_GSM1022636	AUC = 0.600
CTCF_GSM749749	AUC = 0.600
ZNF2_GSM2466522	AUC = 0.600
CTCF_GSM1138985	AUC = 0.600
SMC3_GSM560343	AUC = 0.600
POU5F1_GSM545203	AUC = 0.600
KDM2B_GSM1612060	AUC = 0.600
CTCF_GSM1267209	AUC = 0.600
NANOG_GSM456572	AUC = 0.600
CTCF_GSM651543	AUC = 0.600
CTCF_GSM1910997	AUC = 0.600
ASCL1_GSM1700639	AUC = 0.600
CTCF_GSM2493878	AUC = 0.600
CTCF_GSM1006881	AUC = 0.599
NANOG_GSM1505695	AUC = 0.599
CTCF_GSM2439223	AUC = 0.599
H2AZ_GSM2760303	AUC = 0.599
CTCF_GSM749752	AUC = 0.599
STAG1_GSM1234042	AUC = 0.599
TCF4_GSM1505791	AUC = 0.599
POLR2A_GSM894100	AUC = 0.599
CTCF_GSM646413	AUC = 0.599
CTCF_GSM749696	AUC = 0.599
CTCF_GSM2247248	AUC = 0.599
CTCF_GSM733765	AUC = 0.599
CTCF_GSM2040769	AUC = 0.599
CTCF_GSM749704	AUC = 0.599
CTCF_GSM534485	AUC = 0.599
CTCF_GSM1022630	AUC = 0.598
CTCF_GSM646354	AUC = 0.598
CTCF_GSM733645	AUC = 0.598
H2AZ_GSM2702720	AUC = 0.598
CTCF_GSM803456	AUC = 0.598
CTCF_GSM646475	AUC = 0.598
POLR3D_GSM2544234	AUC = 0.598
CTCF_GSM1224672	AUC = 0.598
SMARCC1_GSM1835891	AUC = 0.598
H2AZ_GSM2760313	AUC = 0.598
CTCF_GSM749737	AUC = 0.598
CTCF_GSM749740	AUC = 0.598
CTNNB1_GSM1579346	AUC = 0.598
CTCF_GSM2871000	AUC = 0.598
CTCF_GSM646314	AUC = 0.597
POLR3D_GSM2544235	AUC = 0.597
CTCF_GSM749727	AUC = 0.597
STAG1_GSM1234025	AUC = 0.597
CTCF_GSM2026785	AUC = 0.597
CTCF_GSM1267208	AUC = 0.597
TFAP2A_GSM1817200	AUC = 0.597
CTCF_ENCSR619IUE_1	AUC = 0.597
CTCF_GSM2493881	AUC = 0.597
CTCF_GSM749667	AUC = 0.597
ZNF423_ENCSR477OJI_2	AUC = 0.597
H2AZ_GSM2760307	AUC = 0.597
CTCF_GSM2747724	AUC = 0.597
CTCF_GSM2493879	AUC = 0.597
CTCF_GSM749723	AUC = 0.596
MAML3_GSM1693097	AUC = 0.596
CTCF_GSM2026786	AUC = 0.596
ZBTB7A_GSM1010752	AUC = 0.596
SIRT1_GSM2474870	AUC = 0.596
CTCF_GSM749714	AUC = 0.596
CTCF_GSM1224655	AUC = 0.596
CTCF_GSM749699	AUC = 0.596
CTCF_GSM749726	AUC = 0.595
CTCF_GSM749684	AUC = 0.595
CTCF_GSM1006882	AUC = 0.595
CTCF_GSM749693	AUC = 0.595
TET2_GSM2467007	AUC = 0.595
TFAP2A_GSM1817199	AUC = 0.595
CTCF_GSM749710	AUC = 0.595
CTCF_GSM534492	AUC = 0.595
CTCF_GSM1022677	AUC = 0.595
ZBTB33_ENCSR541PDV_1	AUC = 0.595
CTCF_GSM1684573	AUC = 0.595
CTCF_GSM749689	AUC = 0.595
STAG1_GSM2140686	AUC = 0.595
SMARCA4_GSM1835892	AUC = 0.595
CTCF_GSM749728	AUC = 0.595
CTCF_GSM1022662	AUC = 0.595
HNF1B_GSM1574275	AUC = 0.595
LARP7_GSM1866696	AUC = 0.595
CTCF_GSM1022635	AUC = 0.595
CTCF_GSM808765	AUC = 0.594
CTCF_GSM808760	AUC = 0.594
CTCF_GSM1655735	AUC = 0.594
CTCF_GSM749674	AUC = 0.594
CTCF_GSM749692	AUC = 0.594
MITF_GSM1226223	AUC = 0.594
CTCF_GSM651542	AUC = 0.594
EZH2_GSM1003498	AUC = 0.594
LEF1_GSM1579344	AUC = 0.594
CTCF_GSM1234045	AUC = 0.594
CTCF_GSM2809616	AUC = 0.594
CTCF_GSM849302	AUC = 0.593
STAG1_GSM800624	AUC = 0.593
TET2_GSM2467009	AUC = 0.593
CTCF_GSM749683	AUC = 0.593
SMAD2_GSM2635692	AUC = 0.593
CTCF_GSM534478	AUC = 0.593
CTCF_GSM808759	AUC = 0.593
CTCF_GSM749757	AUC = 0.593
BATF_GSM2574766	AUC = 0.593
ASCL1_GSM1499402	AUC = 0.593
CTCF_GSM489291	AUC = 0.593
CTCF_GSM1234011	AUC = 0.593
CTCF_GSM1233870	AUC = 0.593
CTCF_GSM749750	AUC = 0.593
CTCF_GSM2247249	AUC = 0.593
CTCF_GSM749769	AUC = 0.593
