NR3C1_GSM2735379	AUC = 0.590
RXRG_GSM468181	AUC = 0.590
NEUROG2_GSM1970151	AUC = 0.590
GATA6_GSM1505664	AUC = 0.589
ZNF430_GSM2466553	AUC = 0.589
ILK_ENCSR648INT_1	AUC = 0.589
SPI1_GSM2592807	AUC = 0.589
E2F1_GSM2501567	AUC = 0.589
GRHL2_GSM1125984	AUC = 0.589
GATA3_GSM2817661	AUC = 0.589
RUNX1_GSM610334	AUC = 0.589
TCF21_GSM1503215	AUC = 0.589
ZBTB16_GSM2947311	AUC = 0.589
SMARCC1_GSM2409677	AUC = 0.589
RUNX1_GSM1113437	AUC = 0.588
FLI1_GSM863152	AUC = 0.588
TP63_GSM1489263	AUC = 0.588
TP63_GSM794864	AUC = 0.588
CUX1_GSM2439236	AUC = 0.588
LHX2_GSM1567049	AUC = 0.588
TP73_GSM501688	AUC = 0.588
GATA4_GSM1505645	AUC = 0.587
HIRA_GSM1358815	AUC = 0.587
TEAD1_GSM1664955	AUC = 0.586
STAT3_GSM935591	AUC = 0.586
PTRF_ENCSR126FZN_2	AUC = 0.586
PMEL_GSM1423007	AUC = 0.585
FOSL2_GSM1010840	AUC = 0.585
IRF1_GSM1057026	AUC = 0.585
NEUROG2_GSM1970157	AUC = 0.585
SMAD3_GSM1246713	AUC = 0.585
NEUROG2_GSM1970150	AUC = 0.585
GATA6_GSM1505660	AUC = 0.585
BATF3_GSM2574791	AUC = 0.584
EP300_GSM1290184	AUC = 0.584
DDX20_ENCSR382AIB_2	AUC = 0.584
IKZF1_GSM1420198	AUC = 0.584
MYOD1_GSM1218849	AUC = 0.584
NR3C1_GSM1607525	AUC = 0.583
TP63_GSM1489261	AUC = 0.583
AR_GSM1716770	AUC = 0.583
ATF3_GSM1917774	AUC = 0.583
NR3C1_GSM2103045	AUC = 0.583
MYOG_GSM2214115	AUC = 0.583
RAD21_GSM2486813	AUC = 0.583
NR3C1_GSM1607526	AUC = 0.583
TP63_GSM1489262	AUC = 0.583
MYC_GSM935491	AUC = 0.583
GATA3_GSM957609	AUC = 0.583
SOX2_GSM1643797	AUC = 0.582
ERG_GSM1097879	AUC = 0.582
SPI1_GSM1642769	AUC = 0.582
IRF1_GSM2394412	AUC = 0.582
JUN_GSM2576177	AUC = 0.582
TTF1_GSM1246715	AUC = 0.581
GATA2_GSM1480746	AUC = 0.581
NR3C1_GSM2735376	AUC = 0.581
FOXA1_GSM1919987	AUC = 0.581
TAL1_GSM2877123	AUC = 0.581
TCF21_GSM1503214	AUC = 0.581
SOX2_GSM1139035	AUC = 0.581
RXRA_GSM2877306	AUC = 0.581
GATA4_GSM1505653	AUC = 0.581
TP73_GSM501687	AUC = 0.581
CEBPB_GSM785502	AUC = 0.581
JUND_GSM2042914	AUC = 0.580
NR3C1_GSM2735380	AUC = 0.580
SPI1_GSM624143	AUC = 0.580
FLI1_GSM790211	AUC = 0.580
RELA_GSM604659	AUC = 0.580
MITF_GSM1565011	AUC = 0.580
PML_GSM468180	AUC = 0.580
FOS_GSM935317	AUC = 0.580
SMAD3_GSM727585	AUC = 0.580
GATA1_GSM2877114	AUC = 0.580
DDX20_ENCSR382AIB_1	AUC = 0.580
BRD4_GSM1416809	AUC = 0.580
BANF1_GSM1645711	AUC = 0.579
TOP1_GSM2058676	AUC = 0.579
CUX1_GSM2439240	AUC = 0.579
SOX2_GSM1643795	AUC = 0.579
ZFP28_GSM2026836	AUC = 0.579
JUNB_ENCSR795IYP_2	AUC = 0.579
DAXX_GSM1678030	AUC = 0.579
GATA1_GSM2877113	AUC = 0.579
EP300_GSM1055813	AUC = 0.579
ERG_GSM1193664	AUC = 0.579
TP63_GSM1489260	AUC = 0.578
YBX1_ENCSR107RHZ_2	AUC = 0.578
IRF1_GSM1574276	AUC = 0.578
GATA4_GSM1505647	AUC = 0.578
SMN1_GSM1892295	AUC = 0.578
TCF7L2_GSM722419	AUC = 0.578
GATA3_GSM1855964	AUC = 0.578
BRD4_GSM1842698	AUC = 0.578
AR_GSM1308236	AUC = 0.578
RUNX1_GSM2871154	AUC = 0.578
TCF7L1_GSM957606	AUC = 0.578
SMC3_ENCSR481YWD_2	AUC = 0.578
RUNX1T1_GSM1113429	AUC = 0.577
CEBPA_GSM788364	AUC = 0.577
TP63_GSM538930	AUC = 0.577
TP53_GSM2746539	AUC = 0.577
EP300_GSM1847311	AUC = 0.577
EP300_GSM1333961	AUC = 0.577
HSF1_GSM951865	AUC = 0.577
GATA3_GSM722168	AUC = 0.577
CEBPB_GSM2592797	AUC = 0.577
EP300_GSM1290183	AUC = 0.577
TAL1_GSM2877116	AUC = 0.577
ELF3_GSM1919986	AUC = 0.577
TAL1_GSM2877124	AUC = 0.577
RNF2_GSM1138593	AUC = 0.577
RELA_GSM604658	AUC = 0.576
GATA1_GSM935333	AUC = 0.576
SMC1A_GSM1670709	AUC = 0.576
IKZF1_GSM935442	AUC = 0.576
AR_GSM1415630	AUC = 0.575
EP300_ENCSR260WCE_2	AUC = 0.575
ZNF331_GSM2026880	AUC = 0.575
SPDEF_GSM2311002	AUC = 0.575
HES2_ENCSR646EFO_2	AUC = 0.575
BATF_GSM1370277	AUC = 0.575
YAP1_GSM1524329	AUC = 0.575
TP63_GSM439777	AUC = 0.575
TAL1_GSM2877108	AUC = 0.575
SMARCA4_GSM1835897	AUC = 0.575
EP300_GSM935500	AUC = 0.575
RUNX1_GSM1632640	AUC = 0.574
NFKB2_GSM1556337	AUC = 0.574
GATA4_GSM1505646	AUC = 0.574
SOX2_GSM1643798	AUC = 0.574
GATA2_GSM2817663	AUC = 0.574
SMC1A_GSM2592813	AUC = 0.574
SPI1_GSM1642762	AUC = 0.573
MED12_GSM1970176	AUC = 0.573
NKX2-1_GSM2310997	AUC = 0.573
TAL1_GSM2877107	AUC = 0.573
EP300_GSM1290175	AUC = 0.573
KDM1A_GSM1844446	AUC = 0.573
TAL1_GSM908055	AUC = 0.573
GATA2_GSM722415	AUC = 0.573
MED1_GSM2190584	AUC = 0.573
ZFP28_GSM2026837	AUC = 0.573
SMC3_GSM1240840	AUC = 0.573
CENPT_GSM1709891	AUC = 0.573
JUND_GSM935328	AUC = 0.573
JUND_GSM754331	AUC = 0.573
JUND_GSM935541	AUC = 0.573
RUNX1_GSM2150334	AUC = 0.573
GATA6_GSM575226	AUC = 0.573
GATA4_GSM1505654	AUC = 0.572
RAD21_GSM2486815	AUC = 0.572
KDM1A_GSM1844448	AUC = 0.572
SMAD1_GSM722397	AUC = 0.572
TAL1_GSM2877115	AUC = 0.572
TCF4_GSM1072711	AUC = 0.572
EP300_GSM2029580	AUC = 0.572
MEIS1_GSM638316	AUC = 0.572
RELA_GSM486311	AUC = 0.571
FOSL1_ENCSR239ZLZ_2	AUC = 0.571
RNF2_GSM1255433	AUC = 0.571
IKZF1_ENCSR278JQG_2	AUC = 0.571
CTCF_GSM2341639	AUC = 0.571
FOXA1_GSM1574274	AUC = 0.571
SMC1A_GSM1670708	AUC = 0.571
SMC3_GSM2813844	AUC = 0.571
JUND_GSM2042913	AUC = 0.571
EP300_GSM1009633	AUC = 0.570
GATA6_GSM1255513	AUC = 0.570
RUNX1_GSM1113427	AUC = 0.570
GATA2_GSM2026054	AUC = 0.570
KDM1A_GSM1844447	AUC = 0.570
CBX3_GSM699735	AUC = 0.570
GATA6_GSM1505658	AUC = 0.570
REST_GSM1290172	AUC = 0.570
EP300_ENCSR686BQM_2	AUC = 0.570
ARID1A_GSM2719738	AUC = 0.570
GATA1_GSM722413	AUC = 0.570
EP300_GSM1831050	AUC = 0.570
FOSL1_GSM803439	AUC = 0.570
FOSL1_ENCSR239ZLZ_1	AUC = 0.569
BRD4_GSM1709939	AUC = 0.569
SPI1_GSM785501	AUC = 0.569
KDM1A_GSM1003570	AUC = 0.569
KDM1A_GSM831002	AUC = 0.569
PRMT1_GSM2977010	AUC = 0.569
PDX1_GSM1416931	AUC = 0.569
NKX2-1_GSM2310996	AUC = 0.569
SPDEF_GSM2311000	AUC = 0.569
HES2_ENCSR951SNW_2	AUC = 0.569
STAT1_GSM385505	AUC = 0.569
NOTCH3_GSM2793828	AUC = 0.569
RCOR1_GSM1387029	AUC = 0.569
RAD21_GSM2486814	AUC = 0.569
GATA3_GSM837986	AUC = 0.569
JUND_GSM1010901	AUC = 0.569
GATA1_GSM722412	AUC = 0.569
DUX4_GSM1967861	AUC = 0.569
TAL1_GSM614004	AUC = 0.569
NR3C1_ENCSR773NQB_1	AUC = 0.569
HES2_ENCSR686BIE_1	AUC = 0.568
BIRA_GSM1524328	AUC = 0.568
STAT3_GSM935276	AUC = 0.568
GRHL2_GSM1125983	AUC = 0.568
TEAD4_GSM1084785	AUC = 0.568
RELA_GSM486300	AUC = 0.568
FOSL1_GSM1010756	AUC = 0.568
TP53_GSM501692	AUC = 0.567
FOXA1_GSM1505635	AUC = 0.567
CEBPA_GSM2326842	AUC = 0.567
IRF1_GSM935546	AUC = 0.567
RXRA_GSM1010767	AUC = 0.567
HES2_ENCSR964KSS_3	AUC = 0.567
GATA3_GSM1856012	AUC = 0.567
TP63_GSM794862	AUC = 0.567
TAL1_GSM1038697	AUC = 0.567
RAD21_GSM1888556	AUC = 0.567
RUNX1_GSM610330	AUC = 0.567
TAL1_GSM1480748	AUC = 0.567
MAF_GSM1278506	AUC = 0.567
SMC3_GSM2813838	AUC = 0.567
RELA_GSM486271	AUC = 0.567
TP63_GSM2074752	AUC = 0.567
CEBPA_GSM722424	AUC = 0.567
SPI1_GSM1501166	AUC = 0.566
BRD4_GSM1416810	AUC = 0.566
HES2_ENCSR911KBJ_3	AUC = 0.566
FOXA2_GSM2977506	AUC = 0.566
REST_GSM1333999	AUC = 0.566
SMAD1_GSM722398	AUC = 0.566
KLF5_GSM1919984	AUC = 0.566
GATA4_GSM1505651	AUC = 0.566
GATA2_GSM2817662	AUC = 0.566
SPI1_GSM1370288	AUC = 0.566
TAL1_GSM1038699	AUC = 0.566
BATF_GSM1370272	AUC = 0.566
SKI_GSM2871153	AUC = 0.566
STAT1_GSM385506	AUC = 0.566
SOX2_GSM1139038	AUC = 0.566
SMAD2-SMAD3_GSM727584	AUC = 0.566
EP300_GSM1009631	AUC = 0.565
ELF3_GSM1574273	AUC = 0.565
GATA4_GSM1505650	AUC = 0.565
POLR3A_GSM935489	AUC = 0.565
NEUROG2_GSM1970153	AUC = 0.565
POU2F1_GSM2058884	AUC = 0.565
PPARG_GSM634630	AUC = 0.565
SPI1_GSM1940197	AUC = 0.565
E2F7_GSM991662	AUC = 0.565
POLR3D_GSM1160644	AUC = 0.565
GATA6_GSM1250897	AUC = 0.564
HES2_ENCSR646EFO_3	AUC = 0.564
JUN_GSM2576176	AUC = 0.564
EP300_GSM1009634	AUC = 0.564
BACH2_GSM2738059	AUC = 0.564
SMAD1_GSM722400	AUC = 0.564
JMJD1C_GSM1901549	AUC = 0.564
NEUROG2_GSM1970155	AUC = 0.564
GATA1_GSM2877106	AUC = 0.564
SMAD1_GSM722425	AUC = 0.564
TP53_GSM1133486	AUC = 0.564
EP300_GSM1290174	AUC = 0.564
GATA3_GSM1856030	AUC = 0.564
BHLHE40_ENCSR957KYB_1	AUC = 0.564
NR3C1_ENCSR919OXR_1	AUC = 0.564
NR3C1_ENCSR720DXT_3	AUC = 0.563
GATA3_GSM1855965	AUC = 0.563
RELA_GSM486276	AUC = 0.563
SUMO1_GSM1012764	AUC = 0.563
SMAD4_GSM727586	AUC = 0.563
CTCF_GSM1056577	AUC = 0.563
EZH2_GSM1003576	AUC = 0.563
NR3C1_GSM2095221	AUC = 0.563
SMC1A_GSM2274683	AUC = 0.563
NR3C1_ENCSR952GOL_2	AUC = 0.563
HES2_ENCSR425MXK_3	AUC = 0.563
NR3C1_ENCSR686PFM_1	AUC = 0.563
NR3C1_GSM2735374	AUC = 0.563
GATA3_GSM1856013	AUC = 0.563
JUNB_ENCSR897MMC_1	AUC = 0.563
HES2_ENCSR979IOT_2	AUC = 0.562
ZMYM3_GSM2574774	AUC = 0.562
PRKDC_GSM1340090	AUC = 0.562
CTCFL_GSM1239559	AUC = 0.562
AR_GSM1716769	AUC = 0.562
MCM2_GSM2474865	AUC = 0.562
TP63_GSM1056847	AUC = 0.562
TAL1_GSM1291197	AUC = 0.562
TET2_GSM1863064	AUC = 0.562
EP300_GSM749524	AUC = 0.562
NR3C1_ENCSR424JOE_3	AUC = 0.562
RXRG_GSM2695654	AUC = 0.562
ZNF274_GSM935329	AUC = 0.562
HES2_ENCSR964KSS_1	AUC = 0.562
HES2_ENCSR911KBJ_1	AUC = 0.562
TP53_GSM2746540	AUC = 0.562
